Neighborhood,Borough,TotalPopulation,Hispanic,White,Black,NativeAmerican,PacificIslander,Other,Asian,EastAsian,SouthAsian,SouthEastAsian,OtherAsian,GreatestValue,MajorityRace,IsMajorityWhite,NTA,total_complaints,indoor_air_quality_complaints,asbestos_complaints,mold_complaints,sewage_complaints,complaints_per_capita,indoor_air_quality_complaints_per_capita,asbestos_complaints_per_capita,mold_complaints_per_capita,sewage_complaints_per_capita,complaints_per_capita_scaled
FLATBUSH,Brooklyn,69495.0,17.772501618821497,15.79250305777394,58.36391107273905,0.01151161954097417,0.0,0.4172962083603137,4.171523131160515,0.9396359450320166,2.4836319159651774,0.6259443125404706,0.11511619540974172,58.36391107273905,Black,false,FLATBUSH,1182,990,95,37,60,0.017008417871789337,0.014245629181955537,0.0013670048204906828,5.324124037700554E-4,8.633714655730628E-4,0.4229795156444185
MIDWOOD,Brooklyn,53963.0,7.497729926060449,68.9101791968571,5.6056927895039195,0.0,0.06671237699905491,1.1507885032336973,13.944739914385785,4.201026629357152,7.469933102310843,0.2409058058299205,1.8327372458907027,68.9101791968571,White,true,MIDWOOD,459,370,40,21,28,0.008505828067379501,0.006856549858236199,7.412486333228323E-4,3.8915553249448695E-4,5.188740433259826E-4,0.19547439246968662
MADISON,Brooklyn,42801.0,7.415714586107801,60.88175509917993,3.0863764865306886,0.05607345622765823,0.0981285483984019,0.11448330646480222,25.104553631924485,19.569636223452726,2.770963295250111,1.331744585406883,0.7569916590733862,60.88175509917993,White,true,MADISON,250,200,17,11,22,0.005840985023714399,0.0046727880189715194,3.9718698161257915E-4,2.5700334104343357E-4,5.140066820868671E-4,0.1241707710041516
OCEAN HILL,Brooklyn,40043.0,22.221112304272907,8.241140773668306,65.50458257373324,0.27969932322753044,0.0,0.6567939465075044,1.1987113852608446,0.7991409235072298,0.09240066928052344,0.3071697924730914,0.0,65.50458257373324,Black,false,OCEAN HILL,541,429,38,22,52,0.013510476238044102,0.010713483005768798,9.489798466648353E-4,5.494093849112205E-4,0.0012986040006992482,0.32938454510608983
BROWNSVILLE,Brooklyn,49099.0,23.08397319701012,1.7780402859528706,69.32116743721868,0.09979836656551051,0.08961485977311147,0.38086315403572374,1.533636122935294,0.4643679097333958,0.8391209596936801,0.2301472535082181,0.0,69.32116743721868,Black,false,BROWNSVILLE,473,357,51,25,40,0.009633597425609482,0.007271023849772908,0.001038717692824701,5.091753396199516E-4,8.146805433919224E-4,0.22565029330212824
EAST FLATBUSH-FARRAGUT,Brooklyn,35993.0,8.718361903703498,2.075403550690412,80.25449392937516,0.07779290417581197,0.05278804211930097,0.5000972411302197,2.508821159669936,0.3139499347095268,2.042063734615064,0.09446281221348596,0.0,80.25449392937516,Black,false,EAST FLATBUSH-FARRAGUT,419,305,49,16,49,0.011641152446309004,0.008473869919150947,0.0013613758230767094,4.445308810046398E-4,0.0013613758230767094,0.27936675649401543
BELMONT,Bronx,35619.0,61.21171284988349,12.734776383390885,21.56714113254162,0.14318200960161712,0.0,0.28917150958757964,2.296527134394565,0.34532131727448834,0.7439849518515399,0.6962576153176675,0.4295460288048513,61.21171284988349,Hispanic,false,BELMONT,256,202,36,6,11,0.00718717538392431,0.005671130576377776,0.001010696538364356,1.68449423060726E-4,3.088239422779977E-4,0.16019099669554615
NORWOOD,Bronx,41357.0,60.66204028338612,10.532678869357062,14.8342481321179,0.9671881422733758,0.0,0.2345431245012936,11.424909930604251,0.7229731363493483,7.674637908939236,1.0614889861450298,0.9647701719176923,60.66204028338612,Hispanic,false,NORWOOD,420,330,48,15,27,0.010155475493870445,0.00797930217375535,0.0011606257707280508,3.626955533525159E-4,6.528519960345286E-4,0.2396142662719077
PARKCHESTER,Bronx,30824.0,38.75551518297431,1.7194393978717883,35.96548144303141,0.9765118089800154,0.0,0.30171295094731376,20.32507137295614,0.5612509732675838,17.895146638982613,1.3560861666234103,0.15896703867116532,38.75551518297431,Hispanic,false,PARKCHESTER,363,247,95,7,14,0.011776537762782247,0.008013236439138333,0.0030820140150532053,2.2709576953023618E-4,4.5419153906047237E-4,0.2829892825488794
GRAMERCY,Manhattan,27291.0,6.786119966289253,68.76625993917409,5.554944853614745,0.0,0.13191161921512587,0.16488952401890733,15.591220548898905,10.157194679564691,3.257484152284636,1.436370964786926,0.10259792605620902,68.76625993917409,White,true,GRAMERCY,871,803,41,15,11,0.03191528342677073,0.029423619508262798,0.001502326774394489,5.496317467296911E-4,4.0306328093510683E-4,0.8218448451792244
